prompt,completion
"Atendeu minhas expectativas, aliou preço baixo e qualidade, apesar de parecer muito frágil. É uma das poucas que tem suporte para o aplicativo Netflix. Recomendo!!","preço
netflix"
"Produto excelente, superou minhas expectativas. Entrega feita antes do prazo, tudo certo!","produto
entrega"
"Bom preço, smart com todas as vantagens de entrar na internet e assistir vídeos do youtube ou netflix, qualidade de imagem e som. Nada a reclamar.","preço
smart
imagem
som"
"Comprei para minha cozinha,. Se for para sua sala, recomendo uma maior !! Tenho uma de 40 no quarto e uma de 48 na sala, todas Smart Tv Samsung. Não troco de marca, todas excelentes !!",""
A entrega chegou dentro do prazo previsto. Algumas vezes demora a entrar no youtube...,"entrega
youtube"
"Seria perfeita se não fosse a oscilação na conexão wifi, pois não sei se é um problema crônico ou simplesmente """"dei azar""""; Já com relação ao áudio poderia ser um pouco mais potente, contudo não interfere na qualidade do produto, no mais só vantagens comparando aos concorrentes, sendo assim eu recomendo!","conexão wifi
áudio
produto"
"gostei muito do produto e recomendo aos amigos, pois a compra foi satisfatoria e a entrega dentro do prazo estipulado pela submarino","produto
produto
entrega"
"Não tem entrada de fone de ouvido, deixou a desejar!!!",entrada de fone de ouvido
"Excelente Smart TV! ADOREI. O frente nem se fala, chegou bem antes do prazo dado. super recomendo.","smart tv
frente
frente"
Ótimo produto. Imagens de alta resolução e com brilho fora do comum. Recomendo.,"produto
imagens
brilho"
"TV moderna leve, eficiente imagem perfeita, ideal para ambientes pequenos.","tv
imagem"
"Tv top, aplicativo netflix, youtube e outros, fácil de configurar e instalar, única coisa contra e os pés, recomendo colocar no painel ou parede.","tv
configurar
instalar
pés"
"Processamento rápido após a primeira configuração, muito leve, excelente custo benefício.","processamento
custo benefício"
Imagem fantástica! E a conectividade Tb bem bacana! Estou super satisfeita com a aquisição!,"imagem
conectividade"
"Foi comprado para presente de casamente de uma amiga, ela tem falado maravilhas do produto. E o Submarino esta de parabens, entrega rápida, tudo certo.","produto
entrega"
O produto é muito Bom gostei muito. e chego no prazo.,produto
Gostei muito do produto! Gostei muito do produto! Gostei muito do produto!,"produto
produto
produto"
"Gostei muito pois além de ser uma ótima Tv, foi entregue bem antes do prazo.",tv
gostei muito desta smart tv. Comprarei outra para minha neta.,smart tv
"Fiz a compra e me surpreendi com o produto, muito bom, superou minha expectativa.",produto
"A minha trava periodicamente e não tem PIP como informado no site e o controle remoto não é muito preciso, fora isso é excelente.",controle remoto
"produto muito bom, qualidade muito boa, tempo de entrega excelente, entrega bem antes do prazo.","produto
tempo de entrega
entrega"
"No meio da programação fica aparecendo o nome samsung na tela, as vezes volta a reproduzir a imagem dentro de alguns minutos ou horas, já outras vezes chega a demorar dias. Levamos a assistência técnica e depois de três meses voltou a ocorrer. Adeus samsung.",""
"Imagem HD, ótima. Lê vários formatos de vídeos no HD EXTERNO, atravéz da conexão USB. A função smart funciona muito bem. Porém o áudio é muito ruim. Tenho que aumentar bem o volume. Até desconfio que esteja com defeito o áudio.","imagem hd
formatos de vídeos
função smart
áudio
áudio"
adorei a TV smart 32. o produto é de qualidade. facil instalação e o prazo de entrega foi bem menor que o previsto. estou muito satisfeita com a qualidade do produto e eficiência da entrega.,"tv smart 32
produto
instalação
prazo de entrega
qualidade do produto
entrega"
"eu pedi dois acessorios a TV chegou, porém estou aguardando o suporte.,",""
Fiquei muito decepcionada. Comprei com o intuito de assistir Netflix e a tv demora demais para responder a função smart hub. Tem que ficar insistindo alguns minutos para entrar. Não gostei.,smart hub
Produto excelente!! Recomendo produto alem de chegar na data marcada.,"produto
produto"
"Smart maravilhosa qualidade de som, imagem,acesso a internet,navegador google amei :) super recomendo. Entrega rápida.","smart
qualidade de som
imagem
acesso a internet
navegador google
entrega"
"A Smart TV é super leve, apresenta excelente qualidade de imagem, boa funcionalidade, ótimo custo benefício, único ponto deixa um pouco a desejar é no acesso as funções Smart, que demoram um pouco para serem acessadas após o televisor ser ligado.","imagem
funcionalidade
custo benefício
funções smart"
"Gostei muito, só tive uma surpresa com relação a saída de som não ter analógica (fone de ouvido) e a qualidade do som da TV não tem um nível satisfatório. Com relação imagem e conectividade é muito boa. Só não dou 5 estrelas pelo som, mas recomendo aos amigos que querem uma TV de boa qualidade.","saída de som
som
imagem
conectividade
som
tv"
"O aparelho é bonito, a imagem é boa, mas o som é ruim e os aplicativos demoram para abrirem. Isso que a velocidade da internet em casa é de 50mbps (fibra).","aparelho
imagem
som
aplicativos"
A televisão é compacta e a imagem de alta qualidade.,"televisão
imagem"
gostei muito do produto. só tenho que ler todo manual para entender todos os serviços,produto
"A imagem é ótima, sistema super intuitivo e autoexplicativo, a função futebol é maravilhosa para assistir jogos! A versão 32"""" não decepciona! Uma TV top! E méritos à Americanas pois o prazo de entrega foi muitíssimo menor que o esperado, chegou muiiito rápido! Super recomendo! Um cliente mais que satisfeito, honestidade total!","imagem
sistema
função futebol
tv
prazo de entrega"
"Samsung é um excelente produto. Só estou com dificuldade de conecão wi-fi, no demais linda.","samsung
conecão wi-fi"
"Pesquisei muito antes de comprar e no fim optei por esse modelo, que superou as expectativas. Muito fácil de configurar, bastante intuitiva, e mesmo com uma internet lenta, consigo assistir tranquilamente a Netflix e vídeos no Youtube. Posso dizer que foi uma escolha bem acertada, é um excelente produto.",produto
Eu recomendo essa tv superou minhas expectativas! mesmo vendo as reclamações sobre o som da tv para mim esta ótimo eu uso no meu quarto e não tenho nada a reclamar! Muito rápida para entrar no WiFi basta ter uma boa internet.,"tv
tv
som
wifi"
Produto veio certinho e antes do prazo! Gostamos muito da qualidade de som e imagem! Recomendo,"qualidade de som
imagem"
"O produto chegou bem antes do previsto , fiquei contente a imagem muito boa só não gostei da fonte , não imaginei que fosse assim, pois as 3 que eu tenho é diferente","imagem
fonte"
Imagem e som compatíveis com a tecnologia do aparelho e o preço cobrado. Não testei os recursos smart. Atende bem para um quarto ou sala pequenos. Entrega Submarino antes do prazo se completar.,"imagem
som
entrega"
"Tv maravilhosa, realmente smart, design lindo, e é Samsung, nem precisa dizer mais!! E como sempre a entrega da Americanas é 100000000!!!","tv
smart
design
entrega"
produto de otima qualidade eu recomendaria para todos e a entrega foi super rápida obg.,"produto
entrega"
"ótima qualidade do produto, cumpre toda a descrição oferecida. Sem reclamações",produto
"Chegou antes do prazo, adorei a TV!! Chegou em perfeito estado, recomendo o produto.","tv
produto"
o manual de instruçao para o uso dos aplicativos achei fraco e sem direcionamento..,manual de instruçao
"TV fraca. Os aplicativos sempre travam, sendo necessário reiniciar o dispositivo. Mesmo sabendo tratar-se de um equipamento de dimensões reduzidas, seus alto falantes são ruins comparado aos dos concorrentes.","tv
aplicativos
alto falantes"
É um bom produto. Boa qualidade. boas funções. Recomendo o produto.,"produto
funções
produto"
"Ola, Gostei muito da TV, tudo que eu queria Na verdade foi de presente para minha Filha ela esta apaixonada pela TV.","tv
tv"
Nunca havia conprado pelo site Ameicanas. Achei muito pratico economico e muito bom.,""
"Muito boa a imagem, produto excelente. Só achei ela muito leve o ideal é pendurar na parede.","imagem
produto"
"Produto de extrema qualidade, obedecendo os prazos de entrega. Sem igual!! Recomendo para os que buscam custo x benefícios.","produto
prazos de entrega
custo x benefícios"
Produto de boa qualidade e atendeu todas minhas preferências. Vale a pena.,produto
"Fiquei muito satisfeita com o produto e com o site, sou cliente",produto
A imagem é ótima e a conexão com a internet é satisfatória.,"imagem
conexão com a internet"
Entrega em 3 dias úteis. Entrega mais rápida que já tive. Parabéns a empresa,entrega
"Produto de alta qualidade, o tempo de entrega foi muito rápido.","produto
entrega"
"Chegou muito antes do prazo, ótima qualidade. Estou muito satisfeita!",""
"Atendeu a expectativa. Só devia melhorar os auto falantes (som deixa a desejar, muito fraco e sem qualidade). Conexão com internet boa (rápida e fácil).","auto falantes
som
conexão com internet"
"Entrega rapida, produto facil de instalar/configurar, tem netflix, imagem linda. Preço excelente na ocasião que comprei","entrega
instalar/configurar
imagem
preço"
A TV e muito boa não tenho do que reclamar e o prazo de entrega foi ótimo tbm,"tv
prazo de entrega"
"Não estã pegando Youtube direito pega mais fica aparecendo uma faixa verde na tela,",""
"Além do produto atender minhas expectativas, ele chegou antes do esperado",produto
"Gostei muito do produto, a imagem é muito boa e de fácil manuseio.","produto
imagem
manuseio"
A tv está abaixando o volume sozinho deve ser algum defeito,tv
"Chegou em perfeito estado, a TV é ótima, a entrega foi rápida.","tv
entrega"
Fiquei sem palavras o quanto eu gostei e sensacional essa tv da Samsung,tv
Recebi bem antes do prazo e a tv e excelente... amando.,tv
Os produtos Samsung são de primeira qualidade. Na minha casa eu só usa essa marca.,produtos samsung
"excelente smart tv, fácil de usar os aplicativos, já vem com a Netflix no menu","smart tv
aplicativos
menu"
preço e beneficio perfeito indico a quem se interessar nesta compra,"preço
beneficio"
"Linda, tudo o que eu esperava, image perfeita de alta definição",image
"Bom produto, com bom custo/beneficio. Som deixa um pouco a desejar.","produto
custo/beneficio
som"
Bom dia Adorei entrega super rápida e Tv funcionando bem,"entrega
tv"
"A TV atende ao propósito da compra, com boa imagem e conectividade.","tv
imagem
conectividade"
O produto é de excelente qualidade e a entrega da Americanas é sempre muito rápida!,"produto
entrega"
"Meio lento na mexer no Explorer, mas normal, a LG parece que é mesma coisa tbm, do resto é uma maravilha.",""
Equipamento muito bom chegou antes do previsto estou super satisfeito,equipamento
Ótimo produto.Fiquei satisfeito e também com o atendimento do Shop time.,"produto
atendimento"
produto muito bom entrega no antes do prazo. imagem excelente só o alto falante que tem uma diferença entre as outras marcas mas nada que atrapalhe.,"produto
entrega
imagem
alto falante"
tudo que esperava e mais um pouco produto de ótima qualidade,produto
"A TV é de qualidade, fácil manuseio, Aprovado. O produto chegou rapido e em perfeito estado.","tv
manuseio"
adorei o produto leve fácil de configurar muito bom estou contente com esta aquisição,produto
"Muito satisfeito com o produto, recomendo!! imagem, som, programação, nitidez, resumindo: nota 10",""
"muito boa tv imagem excelente,painel de controle conjugado, nao gostei muito, no mais tudo bom.","tv
imagem
painel de controle"
"O produto é bom, de fácil configuração wifi e seleção de canais.","produto
configuração wifi
seleção de canais"
Boa qualidade de imagem e sistema operacional enxuto e eficiente.,"imagem
sistema operacional"
"Produto muito bom, excelente, superou minhas expectativas. Ótimo custo benefício!","produto
produto
produto
custo benefício"
"tv simples, mas com recursos que atendem bem a expectativa, poderia ter mais entradas usb e HDMI, mas pelo preço e pelos aplicativos que tem atende bem. recomendo","tv
recursos
entradas"
O processador dela é meio lento mas tirando isso é um ótimo aparelho.,"processador
aparelho"
"Eu gostei muito da tv, sla é muito eficiente, tela de boa qualidade, amei","tv
tela"
Super recomendo valeu a pena....muito boa imagem ótima tô super contente,imagem
"produto muito bom corresponde a espectativa, entrega realizada antes do prazo","produto
entrega"
"Muito bom!!! Atendeu a necessidade. E quanto entrega, chegou dentro do prazo certinho(até antes).",entrega
"Comprei este Smart TV Samsung por necessidade, e pelo preço. Estou satisfeito com a compra, pois é melhor do que esperava. Boa imagem e áudio no tamanho certo.","compra
imagem
áudio
tamanho"
Minha primeira smart TV e realmente o aparelho superou a expectativa. Imagem perfeita e a captação do sinal da internet é muito ágil e constante. Recomendo a todos este produto. Excelente!!!,"aparelho
imagem
sinal da internet
produto"
"Tv com excelente qualidade, em cores brilho e som, e fácil conectividade com Youtub e Netflix. Pelo meno pra mim nota 10.","tv
cores
brilho
som"
"Excelente... estou satisfeita com a aquisição. A Imagem é perfeita, para o ambiente em que coloquei é o tamanho idel e o sinal perfeito, até sem antena.","aquisição
imagem
tamanho
sinal"
"Ótimo custo/benefício, boa configuração, o processamento dos app é um pouco lento mas nada absurdo e entrega antes do prazo.","custo/benefício
configuração
processamento dos app
entrega"
"Prazo de entrega muito bom, e o custo benefício do produto também.","prazo de entrega
custo benefício"
A tv atendeu as expectativas. Ela é muito boa. Chegou num prazo ótimo. Parabéns à lojas Americanas pela eficiência.,tv
"Imagem: muito boa, sem nada a reclamar. Som: vi muitas reclamações , mas como a minha sala é pequena, não vi nada anormal. Aplicativos: Netflix, em especial, às vezes trava. Se ligar a TV é preciso aguardar um tempinho até que os aplicativos sejam carregados.","imagem
netflix"
"Recomendo, tem muitas funções praticas, o wi-fi conecta rápido. É super leve e a imagem espetacular!!!","funções
wi-fi
imagem"
"Atendeu às expectativas. Único problema é ter apenas saída de áudio óptica, mas isso é bem comum.",""
"Fiz a devolução, o som e a imagem não me agradaram, acredito que não soube escolher a tv.","som
imagem
tv"
produto muito bom chegou bem rapído eu recomendaria essa loja para compra,produto
"A tv tem um som muito baixo, além disso ela trava nos aplicativos, não responde o controle e é necessário tirar da tomada. Não atendeu minha expectativa. Tenho uma smartv semelhante de uma marca concorrente que tem um desempenho bem melhor, não apresenta esse tipo de defeito.","som
aplicativos
controle"
"SOM RUIM. PARA LIGAR VOCÊ PRECISA APERTAR UM MILHÂO DE VEZES O POWER E MESMO ASSIM SÓ LIGA SE ESTIVER COM VONTADE, YOU TUBE VOCÊ DIGITA A BUSCA E DEPOIS ACESSA E VAI TOMAR CAFÉ POIS A RESPOSTA É LENTA.","som
resposta"
"Processador muuuito lento, qualquer comando dado nos aplicativos ela fica com um CARREGANDO... por alguns longos segundos na tela. A qualidade da imagem deixa muito a desejar mesmo com minha internet/modem top e com todas as configurações feitas. Não recomendo.","processador
imagem"
Produto conforme as especificações do anúncio. Chegou no prazo e sem avarias.,produto
"Produto de qualidade, mas sem excepcionalidade. O custo baixo, foi o motivador para a compra do equipamento, talavez isto explique a qualidade do material utilizado que poderia ser melhor.","produto
produto
custo
material utilizado"
Adorei a imagem.E a entrega foi muito rápida. Foi entregue antes do prazo A loja esta de parabéns.,"imagem
entrega"
Um bom preço e rápidos nas entregas E só isso mesmo,preço
"boa aparencia, excelente aquisição. foi entregue antes do prazo, muito bom.",aparencia
"A configuração inicial demorou um pouco, mas a conexão com a internet ficou mais rápida depois das configurações iniciais.","configuração inicial
conexão com a internet"
"O produto cumpre o que promete, se comparado as demais desse tamanho ela tem um bom contraste, é rápida nos comandos, só é um pouco lenta com a navegação da internet. Essa já é a terceira que compramos aqui em casa.","produto
contraste
comandos
navegação"
uma imagem perfeita e a entrega bem antes do prazo.,"imagem
entrega"
"Produto de boa qualidade.. Apesar de ter montado e a TVe ela ter ficado um pouco inclinada para frente (o que não tenho certeza se é normal) ficou ótima, funcionando perfeitamente e sem demora. Recomendo.","produto
tve"
"Produto de excelente qualidade, entregue antes do prazo e com o padrão Americanas. Parabéns.",produto
O produto é excelente e mais uma vez parabenizo as Lojas Americanas pela rapidez na entrega.,"produto
entrega"
Muito bom. Gostei muito da tv. Otima qualidade e funções muito práticas. Recomendo.,"tv
funções"
"Excelente qualidade, atendeu as expectativas, e entregue antes do prometido.",""
"ACESSO A INTERNET E TUDO MAIS. Grande, e imagens bouas gráficos excelentes.","imagens
gráficos"
O designer da TV é linda gosto da marca e tudo que ela oferece. Já é a segunda que compro.,designer
"gostei do produto, recomendo a todos. Preço bom e qualidade boa","produto
produto
preço"
JÁ É A SEGUNDA QUE COMPRO. FORMIDÁVEL! Indico para todos e digo que vale à pen,""
"produto excelente, gostei muito, eu o recomendo, muito bom mesmo",produto
"Áudio muito baixo. Me surpreendi com o áudio dessa Smart TV LED 32 Samsung HD UN32J4300AGXZD 2HDMI 1 USB 120 Hz: Péssimo, horrível. Essa seria minha primeira TV Samsung e não pretendo nunca mais comprar uma. Meu plano agora será o calvário de devolver essa Smart TV LED 32 Samsung HD UN32J4300AGXZD 2HDMI 1 USB 120 Hz","áudio
áudio"
Gostei muito e ainda chegou antes do previsto... não poderia ter escolhido melhor,""
"Sempre compro com Americanas, e nunca deixa à desejar. ótimos produtos e entregue sempre antes da fata prevista, super recomendo!!!",produtos
"Atendeu há todas minhas expectativas,excelente qualidade,um produto muito bom mesmo.","qualidade
produto"
"A imagem é boa mas o som, parece o som de radinho de pilha! Me decepcionei!","imagem
som"
"O produto é perfeito, agr consigo ver meus filmes online msm, sem precisar de baixar nada!! E a entrega do submarino é um show a parte..mais uma vez tudo certinho e muito antes do prazo previsto!!","produto
entrega"
"Imagem excelente, entrega ultra rápida. Não tenho do que reclamar.","imagem
entrega"
"Produto muito bom, como todos os produtos da samsung. Visto que é um produto de baixo valor existem algumas limitações como: software smart hub é bem lento nessa tv, e o som tem uma qualidade razoável.","produto
software smart hub
som"
"Como sempre Submarino supera as expectativas, produto chegou conforme mencionado no pedido e preço ótimo.",preço
"Produto possui uma fonte muito frágil, não apresenta sinal de tv a cabo...é lento...","fonte
sinal de tv a cabo"
"Para assistir televisão o produto funciona bem, apesar de a imagem não ser tão boa em comparação com outras TVs. Já a função Smart é lenta e por vezes é preciso desligar a televisão no controle e na tomada para que ela volte a funcionar.","produto
imagem
smart"
"TV Completa e com ótimo custo x benefício. Imagem ótima, desempenha suas funções fluidamente e não deixa na mão!","tv
custo x benefício
imagem
funções"
"A televisão é ótima, apenas o controle remoto deixa um pouco a desejar, tem a resposta um pouco lenta.","televisão
controle remoto
resposta"
Recomendo a compra desse produto. Adorei o produto a TV é excelente!,"produto
produto
tv"
"Gostei da TV apesar do tamanho ser pequeno, mas o custo benefício é muito bom.","tv
tamanho
custo benefício"
"Muito boa,nao deixa nada a deseja funciona tudo netflix,youtube SMARTHUB,tudo perfeito bom demais,recomendo....",""
"é uma Smart muito prática, de fácil manuseio, boa qualidade de imagem e atende a quem quer algo bom e de custo beneficial.","smart
manuseio
imagem"
"Pense três vezes antes de comprar uma """"TV da marca Sansung""""! Comprei uma TV Sansung do mesmo modelo, a """"TELA DE CRISTAL LÍQUIDO TRINCA facilmente até mesmo no nosso caso que não batemos, nem deixamos a cair, ocasionando um prejuízo do próprio valor da TV inviabilizando o seu conserto, a pagar em ASSISTÊNCIA TÉCNICA!",""
"PRODUTO EXCELENTE. NOS DIAS ATUAIS, A TV RECOMENDADA É A SMART, SEM DÚVIDA!",produto
"Uma boa Smart TV de linha d entrada. Atende suas necessidades porem a resposta de comandos como abrir youtube e navegar no mesmo e lenta, mas o produto é bom.","smart tv
resposta de comandos
produto"
"Leve, fácil de acessar os aplicativos e de fácil instalação.","aplicativos
instalação"
Gostei muito da TV e um excelente produto e parabéns as americanas pela a entrega o produto chegou rapidinho,"tv
produto
entrega"
"Ótimo produto, chegou bem antes do previsto e agora só curtindo minha tv. ;)","produto
tv"
"ótima televisão, muito simples de usar, imagens e aplicativos muito bons e a entrega foi antes do prazo","televisão
imagens
aplicativos
entrega"
"Muito feliz pela compra, chegou com uma semana de antecedência ao vencimento do prazo de entrega! A TV funciona perfeitamente e para a sua faixa de preço, vale muito a pena comprar!","entrega
tv"
O produto veio antes do prazo e em perfeitas condições.,""
"Recomendo 100% o produto, preço e qualidade na medida :-)","produto
preço"
"Muito bom o produto,entrega foi feita antes do prazo. Parabénsss!!! Samsung e lojas americanas","produto
entrega"
Inter agora ta de boa ótimo produto com funções e aplicativos que muitas tvs de outras marcas não tem fiz uma boa compra.,produto
"Estou avaliando o produto. Na loja foi tudo ótimo: preço, informações, entrega, etc. Mas o produto, no segundo dia de uso começou a dar problemas. Está na autorizada para trocar as peças com defeito. Controle remoto e receptor/placa. Agora vou ter que ficar com um produto """"reparado"""" !! Como poderei confiar? Vou ficar com a eterna dúvida de que outros problemas surgirão !!! Lamentável.","preço
informações
entrega
produto
produto"
"Eu sou fiel a Samsung. O meu celular, meu notebook e agora minha TV. Acho uma marca excelente com uma tecnologia de ponta. E parabenizo a Americanas. Com, pelo cumprimento do prazo da entrega.",""
Ótimo produto gostei muito deste produto e recomendo para que quiser uma tv de qulidade.,"produto
produto
tv"
"A TV é um produto intermediário, seus recursos são limitados e o som deixa muito a desejar, não compraria esse produto novamente.","tv
recursos
som
produto"
"O produto é muito bom, conforme esperado. Ótimos recurso. Excelente imagem.","produto
recurso
imagem"
"A função smart funciona bem. A imagem é muito boa. Na categoria de 32"""", é uma das melhores.","função smart
imagem"
"Gostei, Leve, pratico, atende a minha expectativa e imagem quase perfeita",imagem
É uma boa smarttv n é muito rápida Os pés são um pouco frágil é boa para por no suporte. Por ser uma HD a imagem é boa n é otima mais cumpre o que promete a entrega foi muito rapida e muito boa também.,"smarttv
pés
imagem
entrega"
"Gostei da TV, funciona muito bem a smart tv, e a imagem é muito boa","tv
smart tv
imagem"
"Não compraria nem recomendaria. A tv eh barata e samsung costuma ser boa, mas o som é péssimo. Resolvi isso com um home theater, mas mesmo assim, ela tem apresentado defeitos, reiniciando constantemente, o que parece ser um defeito bastante recorrente em samsung. Mas irrita bastante, principalmente porque esse modelo demora uns 5 minutos pra conectar no netflix ou youtube. O controle tambem trava de vez em quando. Vale a pena investir um pouco mais em outro modelo ou ate mesmo outra marca.","som
conectar
controle"
"gostei muito do produto, excelente imagem, designer muito bom ,muito boa a recepção dos canais, controle remoto com bom alcance e rápida resposta....",""
"A televisão tem uma ótima imagem imagem e um ótimo som, além de ser fácil o manuseio.","imagem
som
manuseio"
TV ótima imagem linda áudio perfeito baixo consumo de energia,"tv
imagem
áudio
consumo de energia"
"Faz falta um manual adequado. O primeiro uso foi muito complicado, o equipamento não acessava adequadamente a internet e os aplicativos, pedia para atualizar o sistema mas ao mesmo tempo trazia o diagnóstico de que a última versão do sistema estava instalada... Depois de mais ou menos 40 minutos, misteriosamente, passou a funcionar corretamente. Na falta de um manual ou um guia eletrônico adequado, ficamos sem saber o que se passou, e se poderá voltar a ocorrer. Por enquanto, está ótimo!","manual adequado
internet"
"Somente o som que é fraco, tenho uma da mesma marca porém led não é smart e o som é bem melhor muito melhor.",som
"Muito bom produto e entregue bem antes do prazo, recomendo.",produto
"Sabia da limitação dos equipamentos Smart, mas não tinha noção o quanto é ruim digitar num controle remoto. Isto não diminui a qualidade do equipamento. Muito bom. O meu problema é que o sinal wi-fi da minha casa é muito ruim, daí o propósito que tinha de assistir Netflix no meu quarto de dormir ficou adiado até eu melhorar o sinal.","controle remoto
equipamento
sinal wi-fi"
Produto muito bom!! e o prazo de entrega me surpreendeu muito positivamente...chegou em 4 dias...,"produto
prazo de entrega"
Produto excelente e ótimo atendimento. Parabéns a todos que me atenderam. Obrigado.,"produto
atendimento"
Smart TV muito lenta. Demora demais atender aos comandos e criança não tem paciência nessa espera. Para chegar a um desenho na Netflix demora um século.,"smart tv
comandos"
"Para mim funciona muito bem, excelente imagem e conecta a internet muito fácil e rápido.",imagem
"Encomendo esse produto porque é excelente,sobre a loja e integradores,mais excelentes ainda,entregam antes da data ,então fiquem espertos atentos.e feliz natal a todos.estou muito satisfeita com a compra.","produto
compra"
O produto é excelente e a entrga foi muito rápida cegou 20 dias antes do prazo estimado.,"produto
entrga"
"Produto atendeu minhas expectativas, vem com aplicativos variados e de fácil manuseio. Estou amando minha smart TV.","produto
aplicativos
manuseio
smart tv"
"A televisão é muito boa na hora de exibir conteúdo (Sinais de vídeo, Recurso Smart), mas o som é horrível, é impossível assistir algo sem se incomodar com a péssima de qualidade do som.","televisão
som
som"
Mto bom imagem e áudio sistema um pouco lento mas por ser da quarta geração e pelo preço oferece o melhor custo beneficio das tvs de baixo custo,"imagem
áudio
sistema
custo beneficio"
Produto bom. O som poderia ser um pouco melhor. Deixa a desejar ns qualidade.,"produto
som"
"A TV tem uma ótima qualidade de imagem e várias funções. Consigo conectar a tela do meu celular direto para a tela da TV sem cabo algum, apenas pelo Screen Mirroring, uma ótima opção para ver vídeos e fotos armazenados no seu celular. O único ponto negativo é o som, achei um pouco baixo. No mais, vale muito a pena essa TV, e a Submarino como sempre arrasando nas entregas dos produtos, super rápida a entrega. Comprei numa terça e rebebi na sexta.","imagem
funções
screen mirroring
som
som
tv
entrega"
Atendeu mto bem as minhas espectativas e minhas necessidades... Excelente produto!!!,produto
"Ótimo produto, qualidade sem igual no quesito custoXbenefício, os apps rodam tranquilamente, e não precisa de adaptador!!","produto
custoxbenefício
apps"
"Gostei muito do produto, atendeu as minhas expectativas e gostei mais ainda dá Americanas superou todas as minhas expectativas de entrega, muito ágil e sem deixar a desejar em qualidade. Top comprei na sexta-feira na segunda-feira o produto chegou. Vocês brilharam.","produto
produto
entrega
entrega"
Otimo produto bom preco entrega rapida tudo que o consumidor quer parabens americanas.com,"produto
preco
entrega"
"Som muito ruim, e sem saída para áudio externo e fone de ouvido.","som
saída para áudio externo e fone de ouvido"
"A tv realmente de grande qualidade, recomendaria. É perfeita superou as minhas expetativas.",tv
"Comprei essa tv pelo site americanas.com e amei, sempre dispostos para tirarem as minhas dúvidas e para ajudar de forma rápida. Minha tv chegou antes da data prevista e essa foi a minha primeira compra. Gosto muito das lojas Americanas e agora gosto mais ainda. Agradeço o carinho e atenção á todos que me atenderam.",""
Produto muito bom. Só o smart que é meio lento. o app da netflix da uma travada as vezes. fora isso nao tenho do que reclamar,"produto
smart
app da netflix"
"TV de ótima imagem, o som que deixa um pouco a desejar. A entrega foi rápida e eficiente.","imagem
som
entrega"
Da umas travadinha! demora um pouco pra responder os comandos do controle remoto.,controle remoto
"Tenho uma exatamente igual a essa que comprei, porém, mais antiga, Essa, usada, apresentou um problema de ligar e desligar sozinha. Levei-a à assistência técnica que entendeu ser um problema crônico naqueles modelos, e, mesmo com a garantia vencida, consertou o aparelho gratuitamente. Gostei da atitude respeitosa e eficiente da marca e, por isso, adquiri mais essa. Luiz Castro Ingá Niterói RJ",""
"Estou sempre realizando compras na Submarino, porém produtos pequenos e com valor não tão expressivo. E isso me causou insegurança. A televisão chegou no prazo estipulado, lacrada, nota fiscal com total segurança. Super recomendo,",""
Estou gostando muito devido as suas varias funçoes . Recomendo a todos otima tv .,"varias funçoes
tv"
"Comprei este produto na Americanas, mas nunca imaginei que o áudio fosse tão baixo. Provavelmente se você comprar essa TV irá precisar comprar uma Sound Bar.",áudio
"Produto muito bom atendeu as expectativas. Som é um pouco baixo mas imagem é muito boa, excelente para o quarto.","produto
som
imagem"
"O som poderia ter mais qualidade. Essa, na.minha opinião, é a única ressalva.",som
"A TV chegou com um dia de atraso, mas fiquei tranquila porque pelo acompanhamento do pedido, a entrega seria feita dentro de algumas horas. Ótima TV, de fácil instalação e manuseio!!! Eu recomendo!!!!","tv
instalação
manuseio"
Ja tenho smart tv samsung e não troco de marca muito bom produto imagem e acessibilidade a internet muito rapida,"produto
imagem
acessibilidade a internet"
Produto de acordo com minhas expectativas. Entrega antes do programado.,"produto
entrega"
"A TV não me surpreendeu, já adianto que não da pra instalar no app da HBO GO nela, não sei se é compatibilidade ou se não tem o app mesmo para smart tv. Ela tem uma fonte enorme, parece um carregador de notebook. Mas a imagem e o som são bons, ela demora uns minutinhos para conectar na internet quando ligam... a e passei um trabalhinho para instalar o suporte nela, pq no manuel dela não vem as informações (bitola x comprimento) do parafuso.","tv
app da hbo go
fonte
imagem
som"
Televisão muito boa tem tudo que mostra mesmo realmente na propaganda,televisão
muito bom tudo que eu imaginei mais um novato na família todo mundo gosto as criança adoram e já com wi-fi integrado tudo de bom,wi-fi
"Ótima qualidade e muito bonita...detalhe minimo, a potencia do som é muito baixa...",som
"Em vista do custo/benefício, esta tv é uma otima opção. Com uma imagem de qualidade boa, em vista de não ser full hd, te proporciona um conforto da mesma forma na hora de assisit filmes em alta definição. Possui um leve atraso em algumas execussões, mas nada que atrapalhe até o momento... Poderia ter um menu mais simplificado. No geral eu recomendo.","tv
imagem
execussões"
Adorei por usar com monitor e para assistir a NETFLIX.,""
"A smart Tv da samsung é muito boa. Eu tenho duas e comprei mais essa agora pro meu filho! Sem falar na entrega que foi em 4 dias! Obrigado americanas, pelo respeito e atenção que sempre teve comigo, com os produtos sempre chegando em perfeito estado e com rapidez!!","smart tv da samsung
entrega"
"A TV é boa, comprei para o meu irmão. Demora um pouco para carregar a smart tv, mas depois desses instantes abre os aplicativos perfeitamente. Chegou alguns dias antes do prazo.","tv
smart tv"
